;APP_Libelle_etablissement;SIRET;Adresse_2_UA;Code_postal;Libelle_commune;geores;Agrement
46;SOCIETE BIGOT;3,50758E+13;26 RUE DU GENERAL LECLERC;78000;VERSAILLES;48.798955,2.126622;
47;BOULANGERIE COHENDET (COHENDET HERVE);3,81236E+13;14 PL DE LA REPUBLIQUE;38610;GIERES;45.18193,5.792251;
48;ECOMARCHE (VALMA);3,49259E+13;CHE DE ST MAUR;35330;MERNEL;47.895165,-1.989283;
49;LA PANETIERE  (CAVES ET TERROIRS);3,51101E+13;CHE DE MALAKOFF;47520;LE PASSAGE;44.201034,0.600852;
50;SARL CAVE DU PORTUGAL;3,9292E+13;ZONE ZAC DU PONT DES RAYONS;95290;L' ISLE ADAM;49.111339,2.228913;
51;LECLERC (SOC NOUVELLE DISTRIB NANTERRIENNE SONODINA/LECLERC);3,49324E+13;99, RUE PAUL VAILLANT COUTURIER;92000;NANTERRE;48.883498,2.203969;
52;FABRE ET LOUE BOULANGERIE PATISSERIE (FABRE MICHEL);3,51876E+13;168 R VAILLANT COUTURIER;94140;ALFORTVILLE;48.805057,2.419202;
53;VICTOR FREDERIC;3,9355E+13;82 RUE DU FBG SAINT ANDOCHE;71400;AUTUN;46.955702,4.289875;
54;GOLF DES ROCHERS;3,52928E+13;LIEU DIT LES ROCHERS;35500;VITRE;48.077307,-1.166803;
55;Saveurs Nature (SNC LE SABLE D'OR);3,53802E+13;16, esplanade Charles de Gaulle;92000;NANTERRE;48.895682,2.222589;
56;LA MAISON DU FRUIT;3,97875E+13;62 BD RICHARD WALLACE;92800;PUTEAUX;48.880558,2.238231;
57;FOURNIL VIGNY MUSSET (BOULANGERIE DE L ARLEQUIN);3,53691E+13;9 R ALFRED DE MUSSET;38100;GRENOBLE;45.164448,5.725993;
58;TY FOURN (MOREL*PASCAL XAVIER GEORGES/);3,78019E+13;41 RUE COL DE SOYER;29420;PLOUENAN;48.628315,-3.98835;
59;THE A LA MENTHE (SOUIDI ABDELKADER);4,01896E+13;CTR COM DU MERISIER;78190;TRAPPES;;
60;DUMET JEAN;3,79089E+13;LE BOURG;71140;CRONAT;46.683339,3.815813;
61;THERY CHRISTINE;3,7986E+13;26 R PASTEUR;91710;VERT LE PETIT;48.546767,2.364934;
62;SER QUA FRAIS;4,04567E+13;PLACE DU DOCTEUR GIRAUDET;85460;L' AIGUILLON SUR MER;46.334362,-1.307783;
63;BARRERO TRAITEUR;3,82685E+13;33 R DENIS PAPIN;91240;SAINT MICHEL SUR ORGE;48.626299,2.312609;
64;ABDI DJILALI;3,80678E+13;67 RUE MARTYRS DE LA RESISTANCE;69200;VENISSIEUX;45.690725,4.871248;
65;SARL SAINT MARC;4,05009E+13;34 ESP CHARLES DE GAULLE;92000;NANTERRE;48.895156,2.222567;
66;LANGLET PATRICK MARCEL ANDRE;3,83353E+13;1 R DES PYRENEES;65140;RABASTENS DE BIGORRE;43.387274,0.149989;
67;MONSIEUR PASCAL LEDIEU;3,82758E+13;25 RUE DU MAIL;41120;CHITENAY;47.497051,1.370657;
68;MAREK JEAN-MARC;4,05208E+13;18 RUE SAINT CHRISTOPHE;2200;SOISSONS;49.38211,3.322995;
69;INTERMARCHE (VILLANS);3,83492E+13;QUARTIER DES GEYMONDS;38250;VILLARD DE LANS;45.084801,5.554299;
70;E.LECLERC EXPRESS (FRANCONDIS);3,828E+13;41 AV DES MARAIS;95130;FRANCONVILLE;48.995595,2.220672;
71;BUVETTE DE L'OBSERVATOIRE (JYCE);4,07523E+13;PRC DE LA TETE D OR;69006;LYON;45.774249,4.851558;
72;DESNOYER;3,83881E+13;31 AV JEAN JAURES;73000;CHAMBERY;45.569449,5.912491;
73;LES PYRAMIDES;4,08743E+13;4 R MAURICE THOREZ;92000;NANTERRE;48.890754,2.195121;
74;SOCIETE D'EXPLOITATION DES ETS MORELLE;3,85272E+13;4 R HENRY DUNANT;95300;PONTOISE;49.057153,2.087796;
75;CODEC (LOVEDIS);3,88294E+13;3 BD JEAN JAURES;92100;BOULOGNE BILLANCOURT;48.84548,2.237232;
76;DELICE MALICE;4,12129E+13;10 AV GUY DE MAUPASSANT;78400;CHATOU;48.902115,2.155956;
77;L'ANGE COURONNE;3,88747E+13;18 R DE LA REPUBLIQUE;69220;BELLEVILLE EN BEAUJOLAIS;46.108784,4.750363;
78;MASSU MOISE;3,8869E+13;15 R DE LA RESISTANCE;14100;LISIEUX;49.144256,0.226723;
79;SAN PAOLO (SAN PAOLO);4,13556E+13;1B PL CARDINAL MERCIER;95880;ENGHIEN LES BAINS;48.969378,2.308711;
80;BONHEUR ALIMENTATION (MONSIEUR PHONG LIM);3,91067E+13;2 RUE JEANNE D ARC;92130;ISSY LES MOULINEAUX;48.831901,2.28014;
81;HATTE PHILIPPE RENE YVES;3,89314E+13;3 R DU GAL LECLERC;80160;CONTY;49.741102,2.152718;
82;DELAGARDE;4,15017E+13;32 RUE DE LA REPUBLIQUE;92190;MEUDON;48.807926,2.235996;
83;SOC COOPERATIVE BIOLOGIQUE PARISIENNE;3,91553E+13;127 AV J B CLEMENT;92100;BOULOGNE BILLANCOURT;48.842411,2.231746;
84;BATON ROUGE;3,89615E+13;CHAMP DU PONT;69800;SAINT PRIEST;45.71109,4.966179;
85;LE CASTEL SAINT JEAN;4,17713E+13;5 AV ADOLPHE MAX;69005;LYON;45.759797,4.826954;
86;BOULANGERIE SAUVAGE (SAUVAGE THIERRY PAUL);3,92074E+13;19 R DES THERMES;65200;BAGNERES DE BIGORRE;43.063167,0.148245;
87;REINE 45;3,92657E+13;45 RUE DU MARECHAL FOCH;78000;VERSAILLES;48.809238,2.133512;
88;INTERMARCHE (S.A.S. GIFLONY);4,17768E+13;14 AV CHARLES DE GAULLE;78800;HOUILLES;48.921377,2.185917;
89;MC DO (PIMM);3,92732E+13;RTE DE LA NOUE;91190;GIF SUR YVETTE;48.701663,2.100917;
90;NICOLLE CHRISTOPHE;3,931E+13;2 R DU VIEUX LAVOIR;91620;NOZAY;48.660013,2.24179;
91;LECLERC (ANTHIGO);4,18691E+13;3 RUE DE L'ORSON;35770;VERN SUR SEICHE;48.063289,-1.623254;
92;MONSIEUR ERIC LECAT;3,92885E+13;1 RUE CAHOS;80310;HANGEST SUR SOMME;49.980644,2.064369;
