;APP_Libelle_etablissement;SIRET;Adresse_2_UA;Code_postal;Libelle_commune;geores;Agrement
3712;LE BON PECHEUR;7,89022E+13;9 RUE DES PRECHEURS;75001;Paris 1er Arrondissement;48.861996,2.348528;
3713;FOUNTI AGADIR;4,08495E+13;117 RUE MONGE;75005;Paris 5e  Arrondissement;48.839429,2.351296;
3714;LA FERME DES GENESTES;8,93985E+13;Les Genestes;24590;Saint-Geniès;44.980394,1.223285;24412003
3715;FROMAGERIE FRANCOIS OLIVIER;4,13202E+13;40, rue de l'hôpital;76000;Rouen;49.442998,1.095773;76540040
3716;ECOLE ELEMENTAIRE;2,17901E+13;2,rue de l'an 2000;79340;Fomperron;46.47545,-0.109114;
3717;EXTERIEUR QUAI;8,5211E+13;5 RUE D ALSACE;75010;Paris 10e  Arrondissement;48.876741,2.357604;
3718;EARL LES AILES DU SANCY;8,94551E+13;Les Prades;63970;Aydat;45.66009,2.944075;63449002
3719;ECOLE SAINTE MATHILDE;7,85196E+13;7 BD AGUADO;91000;Évry-Courcouronnes;48.634937,2.441747;
3720;GATINE VIANDES;3,82205E+13;ZI LA BOUGEOIRE;35130;La Guerche-de-Bretagne;47.94962,-1.231893;35125002
3721;SALAISONS BOURBONNAISES;5,23644E+13;9 RUE DE BOURGOGNE;52400;Bourbonne-les-Bains;47.951063,5.755023;
3722;BOUCHERIE DE GAILLON;8,40393E+13;77 RUE DU GENERAL DE GAULLE;27600;Gaillon;49.160282,1.330596;
3723;MAIRIE COMMUNE DE COULAINES;2,17201E+13;RUE DE VIENNE;72190;Coulaines;48.024542,0.20818;
3724;ASS FAMILIAL FORMAT PROFESS AGRIC MENAGE;3,23326E+13;LYCEE SAINTS ANGES KERLEBOST;56300;Saint-Thuriau;47.99264,-2.958958;
3725;CENTRE HOSPITALIER SITE DE SAINT ANNE;2,64004E+13;782, avenue de Nonères  BP397;40012;Mont-de-Marsan;43.901233,-0.497598;40192009
3726;DELBER;3,34808E+13;CHE DE CAMPAGNE;30250;Sommières;43.783173,4.07606;
3727;VIENTIANE DISTRIBUTION;3,45117E+13;19-23 AV DE L EPI D OR;94800;Villejuif;48.782927,2.350987;94076229
3728;LE CHENIN;9,01046E+13;1 RUE DE LA MAIRIE;49170;Savennières;47.383144,-0.657258;
3729;FERME D'ANIMATION EDUCATIVE DE WOIMBEY;4,92547E+13;chemin des Vignerons;55300;Woimbey;48.975331,5.469019;
3730;VILLEMIN;5,28278E+13;174 RUE DE BARBONFOING;88390;Girancourt;48.153918,6.314365;
3731;LES SAVEURS DE L'ORIENT;4,87462E+13;Centre commerciale Jean Vilar;49000;Angers;47.445953,-0.563351;
3732;FROMAGERIES PAPILLON;3,91901E+13;200 CHE DES TOURNESOLS;12430;Villefranche-de-Panat;44.088709,2.710956;12299002
3733;LES JARDINS DE FLORE;3,44914E+13;Z.A.c;34760;Boujan-sur-Libron;43.370115,3.249013;
3734;LES DEUX COUPOLES;3,18626E+13;192 BIS AVENUE DE CLICHY;75017;Paris 17e  Arrondissement;48.894168,2.314256;
3735;CHOPTICK;8,19443E+13;86 ROUTE DE L EGLISE;50200;La Vendelée;49.079356,-1.478766;
3736;CENTRE HOSPITALIER GENERAL D'ARPAJON;2,691E+13;OFFICE REZ DE CHAUSSEE;91290;Arpajon;;
3737;LES DELICES D'ELISE;5,34598E+13;28 RUE DU MOULIN;56190;Billiers;47.533096,-2.493434;
3738;THAI HOUSE;4,48442E+13;42 RUE RODIER;75009;Paris 9e  Arrondissement;48.879522,2.343475;
3739;TREMBLIER PATRICE;4,82022E+13;515 COR DE SOLVIOU;83140;Six-Fours-les-Plages;43.12321,5.934064;
3740;COOPERATIVE MARITIME DE BEAUVOIR SUR MER;7,86379E+13;PORT DU BEC;85230;Bouin;46.937547,-2.071398;
3741;LES P'TITS LOUPS DE BETTENCOURT;5,29454E+13;LES P TITS LOUPS DE BETTENCOURT;80610;Bettencourt-Saint-Ouen;50.036881,2.119565;
3742;CHEZ RINA;8,28999E+13;19 GRAND RUE;84110;Vaison-la-Romaine;44.238246,5.070866;
3743;PARMANTEL PASCAL;4,20773E+13;133 GRANDE RUE;54000;Nancy;48.698216,6.178328;
3744;ASIA DELICES;7,53831E+13;ROUTE DE SAINT ETIENNE;42110;Feurs;45.731686,4.225244;
3745;EHPAD MAISON DE RETRAITE PIERRE MONDINE;2,64506E+13;Avenue d'ARCONVILLE;45480;Outarville;48.211047,2.015032;
3746;LA FERME DU LEVEZOU;8,83069E+13;LES VIALETTES;12780;Vézins-de-Lévézou;44.261983,2.922491;
3747;ECOLE ELEMENTAIRE ROLAND GARROS;2,12802E+13;4 RUE MAUNOURY;28240;La Loupe;48.471529,1.009584;
3748;FERME DE LA PERDRIERE;3,49582E+13;LA PERDRIERE;14380;Noues de Sienne;48.863987,-1.022667;14671061
3749;DEVAUX ALAIN;7,90771E+13;9 rue Copello;13008;Marseille 8e  Arrondissement;43.232086,5.3544;13077032
3750;MAISON LOIC CHUPIN;4,2924E+13;LA GARE DES EPESSES;85500;Les Herbiers;46.872985,-0.959084;85109003
3751;HARDOUIN MARIE-PIERRE;5,04128E+13;Chemin du Mas Cap Blanc;66300;Tordères;42.564634,2.762569;66211001
3752;HAUSS;4,45086E+13;186 IMPASSE DU MEZE;88100;Taintrux;48.251637,6.8829;
3753;PIZZARIA LEILEI;P00007824001;PRFJ+CG;98600;Uvea;;
3754;CHEZ AUGUSTINE;8,83848E+13;12 RUE DE LA FONTAINE;4120;Castellane;43.846963,6.512896;
3755;LES FLAVEURS DU PERCHE;5,3872E+13;1 RUE GARREAU;61110;Bretoncelles;48.431547,0.886322;
3756;SALAISONS GORIN;8,09388E+13;50 RTE DU SOMPORT;64400;Gurmençon;43.156602,-0.5973;
3757;GALLIANCE LE BIGNON;3,40821E+13;18 RUE DE LA FORET;44140;Le Bignon;47.119386,-1.492932;44014001
3758;COLLEGE JEANNE D'ARC;3,79618E+13;1, ter Boulevard Chateaubriant;35500;Vitré;48.118949,-1.209363;
3759;KIYOMIZU;5,12397E+13;4 RUE SAINT PHILIPPE DU ROULE;75008;Paris 8e  Arrondissement;48.873247,2.308678;
3760;PASSAGE 53;5,09895E+13;53 PASSAGE DES PANORAMAS;75002;Paris 2e  Arrondissement;48.871091,2.341662;
3761;FROMAGERIE DU JURA;5,82117E+13;5 AVENUE DE FRANCHE COMTE;94589;Rungis;;94065130
3762;SCEA SIRE DE CREQUY;8,35224E+13;HAMEAU DE LA SARFAUCRY;62310;Fruges;50.503863,2.081728;
3763;ARTI;4,79854E+13;173, RUE LECOURBE;75015;Paris 15e  Arrondissement;48.840939,2.297406;
3764;BONNIER EMMANUEL;8,35308E+13;LIEU DIT LA GRANGE MAUBATIE;16410;Torsac;45.554201,0.247495;
3765;DORJEE SUSHI;8,43081E+13;125 BD VINCENT AURIOL;75013;Paris 13e  Arrondissement;48.833332,2.364342;
3766;EARL DE L'ESTANHOL;3,87516E+13;LA CROIX NEUVE;34140;Loupian;43.445973,3.640348;
3767;MAISON KASSY;4,99908E+13;Plan de Campagne;13170;Les Pennes-Mirabeau;43.417045,5.345963;
3768;LE CHAT ZEN;8,19204E+13;20 RUE DU RENARD;75004;Paris 4e  Arrondissement;48.859601,2.352753;
3769;NZO - LE BELLEVUE;8,51478E+13;rue Jean Moulin;9400;Tarascon-sur-Ariège;42.850075,1.60581;9306001
3770;SIVOM DU CANTON DE HEDE;2,435E+13;1 rue Alfred Anne-Duportal;35630;Hédé-Bazouges;48.295147,-1.798969;
3771;EHPAD L OSTAL;3,338E+13;4 bis, Chemin de Montbrun;9350;Daumazan-sur-Arize;43.141941,1.306403;9105001
3772;CNP ASSURANCES;3,41737E+13;4 PLACE RAOUL DAUTRY;75015;Paris 15e  Arrondissement;48.841607,2.319963;
3773;SAUMEXTRA;3,5081E+13;3 rue du Champ de Montigny;49080;Bouchemaine;47.437035,-0.613499;49035001
3774;UNITE CENTRALE DE PRODUCTION DE BELLEVUE;7,75648E+13;rue de Montagny;69240;Thizy-les-Bourgs;46.036845,4.293618;6902505
3775;GAEC UNIBIO;7,92957E+13;Le Cunil;42430;Saint-Marcel-d'Urfé;45.866998,3.886403;42260001
3776;AU COEUR DE LA FERME;8,48537E+13;1176 RTE DE BAUDRIERES;71440;Saint-Vincent-en-Bresse;46.666882,5.040829;
3777;LES HALLES DE L'AVEYRON;5,04169E+13;Boulevard des Balquières;12850;Onet-le-Château;44.373245,2.575337;12176005
3778;AQUA BLEUE;8,43532E+13;43 AV DU GENERAL DE GAULLE;97300;Cayenne;4.939284,-52.329954;97302039
3779;COLLEGE ST JOSEPH;7,86368E+13;LE RANCHER;72220;Teloché;47.881606,0.274922;
3780;LA BERGERIE DES DEUX SOURCES;8,12473E+13;21 RTE DES SECS PRES;88230;Fraize;48.190836,7.000728;
3781;GAEC BARBOSSINE - DAVID EMMANUEL;3,77644E+13;LE TERROIT;74390;Châtel;46.27341,6.840127;74063171
3782;NYONS PIZZAS;4,18675E+13;LE BAS RIEUX;26110;Nyons;44.359618,5.148546;
3783;3A GERS;8,11791E+13;ABATTOIR;32000;Auch;43.648761,0.587896;32013020
3784;7COM;4,30097E+13;230 bis, Chemin des FONTS;30650;Rochefort-du-Gard;43.984264,4.712337;
3785;BROLL;8,50535E+13;Chemin de l'Eglise;28260;Anet;48.851183,1.43969;
3786;SUPER U;3,2693E+13;Avenue de Toulouse;11110;Coursan;43.230802,3.053369;
3787;DIPA;3,3478E+13;LIEU DIT TRAVONI;20215;Vescovato;42.520204,9.457165;2B346006
3788;COMPTOIR DE BOISSET SAINT PRIEST;8,3973E+13;216 B RUE DES ECOLIERS;42560;Boisset-Saint-Priest;45.512319,4.106435;
3789;LE THON BLEU;4,89489E+13;52 RUE DU GENERAL DE GAULLE;56590;Groix;47.642346,-3.449424;
3790;SORIANO JEAN-FRANCOIS;8,31569E+13;160 RTE DE BOURG SAINT-ANDEOL;7700;Saint-Just-d'Ardèche;44.305165,4.613246;
3791;CH DU CHEYLARD;2,607E+13;1 RUE LAFONT;7160;Le Cheylard;44.904499,4.420993;
3792;PASCAL;3,97931E+13;Route d'Arnéguy;64220;Uhart-Cize;43.159041,-1.245556;64538001
3793;MAS LA PALOMBERIE;7,86104E+13;MAS LA PALOMBERIE;49480;Verrières-en-Anjou;47.517858,-0.446533;49323022
3794;HEMEURY ERIC;4,0949E+13;13 A RUE THEODORE BOTREL;22620;Ploubazlanec;48.801311,-3.025802;22210117
3795;TIMI SUSHI;8,82539E+13;110 RUE MONTMARTRE;75002;Paris 2e  Arrondissement;48.867592,2.343984;
3796;ORHON THIERRY;3,81296E+13;POLDER SUD 3ème PONT;85230;Bouin;47.020103,-1.972322;85029632
3797;L'ECAILLE;8,89292E+13;50 AV DE TARBES;65500;Vic-en-Bigorre;43.375087,0.059051;
3798;RESIDENCE DU VAL D'OR;2,614E+13;RESIDENCE VAL D'OUVE;14100;Lisieux;49.090897,0.273632;14366876
3799;PATES DI VIESTO;4,24749E+13;ZA LA PASSERELLE;68190;Ensisheim;47.873854,7.351145;68082023
3800;CUISINE CENTRALE MUNICIPALE;2,14503E+13;rue Olympe de Gouges;45300;Pithiviers;48.18663,2.252157;45252013
3801;COMPTOIR DROMOIS DES VIANDES;3,50418E+13;9 IMP FREDERIC AUGUSTE BARTHOLDI;26120;Chabeuil;44.899315,5.005018;26064021
3802;LA TOQUE DES MASCAREIGNES;4,79633E+13;16 rue Jules Thirel -SAVANNAH;97460;Saint-Paul;-20.986966,55.297659;97415033
3803;VARQUEZ CAROLE;3,47433E+13;18 RUE DE L ETAPE AU VIN;10400;Nogent-sur-Seine;48.49313,3.501768;
3804;ECOLE ELEMENTAIRE PUB E HERRIOT;2,193E+13;10 AVENUE ARISTIDE BRIAND;93360;Neuilly-Plaisance;48.87215,2.510537;
3805;LENOUVO COSMOS;5,30412E+13;24 RUE DU JAVELOT;75013;Paris 13e  Arrondissement;48.825148,2.36606;
3806;NEDJIMA SALAH;7,51663E+13;14 RUE DE LA LIBERATION;42150;La Ricamarie;45.403341,4.364701;
3807;RESIDENCE AUTONOMIE ANDRE CLAUDEL;2,65401E+13;2, Rue de la Résistance;54360;Damelevières;48.556663,6.384846;
3808;FERME DES NOISETIERS;4,23276E+13;270 route de la Chapelle du Hay;76190;Bois-Himont;49.591752,0.704664;
3809;PIZZA MATEO;5,34782E+13;Route de Bazas- RD 932;33210;Langon;44.541625,-0.242181;
3810;GAELLE;5,31142E+13;KERANDY;56190;Noyal-Muzillac;47.619117,-2.736662;
3811;L'HUITRE DE L'ISLE;8,28224E+13;nan;85230;Bouin;46.966609,-2.029011;85029002
3812;MAIRIE COMMUNE DE SALIGNAC;2,10402E+13;131 RUE DE L'ECOLE;4290;Salignac;44.157336,5.982478;
3813;LES DELICES DU LUY DE FRANCE;4,97482E+13;nan;64410;Malaussanne;43.570416,-0.471913;64365006
3814;LOGEMENT FOYER LES METAIRIES;2,65602E+13;4, allée Jean Beaucherel;56130;Nivillac;47.519479,-2.294075;56147801
3815;MAISON LEPETIT;3,31532E+13;Za la croix de l'Aiguillon;19270;Ussac;45.190987,1.498196;19274004
3816;CARREFOUR MARKET;5,35242E+13;CARREFOUR MARKET;33420;Grézillac;44.829607,-0.189229;
3817;BISTROT 38;7,88794E+13;38, BOULEVARD LEFEBVRE;75015;Paris 15e  Arrondissement;48.830583,2.292742;
3818;MALATESTA JEAN-MARC;4,18126E+13;la pieve;20160;Vico;42.162277,8.795929;
3819;NEWREST FRANCE LYON;4,12576E+13;AEROPORT LYON SAINT-EXUPERY;69124;Colombier-Saugnieu;45.719273,5.078478;69303015
3820;EHPAD LES HESPERIDES;2,61601E+13;MAISON RETRAITE LES HESPERIDES EHPAD;16230;Luxé;45.891906,0.116586;16196002
3821;LE WOOD;8,40278E+13;27 PL DU CHANGE;60200;Compiègne;49.416596,2.825146;
3822;EHPAD MEDULI;2,63306E+13;64 AV GAMBETTA;33480;Castelnau-de-Médoc;45.031996,-0.799864;
3823;GROUPEMENT DE COOPERATION SANITAIRE INTER HOSPITALIER DES ARDENNES;1,30018E+13;196 route de WARCQ;8000;Charleville-Mézières;49.764896,4.694439;8105008
3824;ETABLISSEMENTS ABERA;5,99201E+13;Rue Victor Roussin;35460;Maen Roch;48.407432,-1.359867;35257002
3825;BOUCHERIE LE GOURMAND;8,49341E+13;16 AV ELZEARD ROUGIER;13400;Aubagne;43.293934,5.569174;
3826;SARL SABHIR SOCIETE D ABATTAGE D HIRSON;4,03331E+13;138 rue de Guise;2500;Hirson;49.921103,4.071009;2381001
3827;MOM MAKI;8,97524E+13;169 RTE DE LYON;3000;Moulins;46.539865,3.34472;
3828;CENTRE HOSPITALIER DE DAX;2,64003E+13;Boulevard du Manoir;40100;Dax;43.708466,-1.039779;40088008
3829;MIDI PYRENEES DISTRIBUTION;3,01639E+13;ZAC DE LA VIALETTE;81150;Marssac-sur-Tarn;43.917714,2.035741;81156002
3830;RESTAURANT CHEZ CHUNG;3,45008E+13;49, BOULEVARD GOUVION SAINT-CYR;75017;Paris 17e  Arrondissement;48.882013,2.28626;
3831;COCHON PLUS;5,09541E+13;Rue orthez loulou;97139;Les Abymes;16.274412,-61.508338;
3832;POISSONNIERS ORDENER DISTRIBUTION;7,22057E+13;76 RUE DES POISSONNIERS;75018;Paris 18e  Arrondissement;48.891038,2.35169;
3833;ESPACE GOURMAND ONDINE TRAITEUR;4,3245E+13;12 rue du Général Ingold;88230;Fraize;48.18338,7.003139;
3834;EARL RAYSSAGUEL;8,10268E+13;47 chemin de Rayssaguel;81990;Cambon;43.908359,2.220337;81052018
3835;LE DIAMANT DE PARIS;8,41741E+13;59 RUE SERVAN;75011;Paris 11e  Arrondissement;48.863029,2.381594;
3836;FERME LES ACACIAS;8,79615E+13;210 ROUTE DE LABASTIDE;64240;Urt;43.482315,-1.284632;64546002
3837;CENTRE COMMUNAL D'ACTION SOCIALE;2,6381E+13;88 RUE CHARLES MICHELS;38600;Fontaine;45.193482,5.686164;
3838;SIGES;3,1024E+13;SIGES;89440;Joux-la-Ville;47.609033,3.863075;
3839;OSLO KHEBAB;8,91168E+13;24 CRS LYAUTEY;64000;Pau;43.307219,-0.364198;
3840;BOUCHERIE CHARCUTERIE FINCKBONHER;4,30022E+13;8, rue de St Romain d'Ay;7290;Quintenas;45.188799,4.686183;
3841;PAGE 35;4,52689E+13;4, RUE DU PARC ROYAL;75003;Paris 3e  Arrondissement;48.858385,2.363856;
3842;LE BORVO;3,17762E+13;Route de Beaumont;89250;Chemilly-sur-Yonne;47.904353,3.558161;89096001
3843;HALTE GARDERIE LES P'TITS LOUPS;2,10202E+13;30 RUE PAUL DOUMER;2300;Chauny;49.617036,3.223679;
3844;UPR;8,31074E+13;3 RUE HO CHI MINH;97110;Pointe-à-Pitre;16.246435,-61.54038;97120001
3845;PIRES VIEIRA RAMIRO;4,49774E+13;RUE DE LA NOUE;77320;Choisy-en-Brie;48.759223,3.21369;77116001
3846;MAIRIE COMMUNE DE BONNETABLE;2,172E+13;18 PLACE D ARMES;72110;Bonnétable;;
3847;20 EIFFEL;8,12772E+13;RESTAURANT 20 EIFFEL;75007;Paris 7e  Arrondissement;48.857739,2.294844;
3848;TARTERIE LEPIC;3,89863E+13;26 RUE LEPIC;75018;Paris 18e  Arrondissement;48.885271,2.334334;
3849;KEBAB ROUTE 66;8,99474E+13;RTE DEPARTEMENTALE 6009;11480;La Palme;;
3850;NSP;8,14454E+13;114 AV JEAN JAURES;75019;Paris 19e  Arrondissement;48.885951,2.382909;
3851;JOYANT AUDREY;4,99422E+13;LE COLLET;4200;Châteauneuf-Miravail;44.162855,5.724812;4067067
3852;SOCIETE DES QUATRE VENTS;4,94432E+13;Ferme du Moulin;60640;Guiscard;49.658453,3.061616;60291031
3853;PRP 21;8,39401E+13;11 RUE JEAN JAURES;51000;Châlons-en-Champagne;48.954821,4.354183;
3854;LAMPAC;3,44056E+13;30 rue de la Tresse;55800;Revigny-sur-Ornain;48.825153,4.992044;
3855;SARL BEZANCON;4,35074E+13;1 RUE DU FRET;29160;Lanvéoc;48.286883,-4.462099;
3856;BROCHE VOLAILLES;4,79827E+13;ROUTE DE BAGNOLS;30700;Saint-Siffret;44.024651,4.467416;30299103
3857;DEPLATIERE SA;3,24368E+13;La Trédonnière;1400;Châtillon-sur-Chalaronne;46.121361,4.942738;1093055
3858;DOUMBEA;4,38886E+13;RES 23/25, RUE DU CAMP ROMAIN;91490;Milly-la-Forêt;48.398667,2.42429;91405001
3859;TRUNEL MARION;8,20195E+13;54 CHEMIN DU VERDIER;42940;Saint-Bonnet-le-Courreau;45.656995,3.894867;
3860;SUR LE POUCE;3,90888E+13;SUR LE POUCE;59530;Le Quesnoy;50.264714,3.679296;
3861;DESENFANT CORENTIN;7,94598E+13;34 AV EUGENE GOURDEAU;72110;Saint-Cosme-en-Vairais;48.275589,0.464503;
3862;HUGUENIN LUCETTE;4,51532E+13;331 LE HAUT DE MOYENPAL;88220;Xertigny;48.061092,6.363697;
3863;MJ AWAN;4,83473E+13;1 RUE DU PRESIDENT POINCARE;77220;Tournan-en-Brie;48.739474,2.762507;
3864;LA CASA DI STEFANO;8,92572E+13;11 AV DESCARTES;33160;Saint-Médard-en-Jalles;44.887217,-0.69912;
3865;DAMBRY DAVID;8,8203E+13;CAMPING LE MESNIL;76740;Saint-Aubin-sur-Mer;49.883413,0.850345;
3866;SOCIETE NOUVELLE MYTILUS;3,88086E+13;Bon Abri;22120;Hillion;48.51978,-2.651642;22081004
3867;ARTS ET SAVEURS;5,05161E+13;134 MTE DES PICADOUS;34980;Montferrier-sur-Lez;43.66905,3.862341;
3868;LE PETIT DUC;3,3509E+13;79 AV DE LA GARE;6800;Cagnes-sur-Mer;43.658007,7.14787;
3869;PHL RESTAURATION;4,88396E+13;19 RUE DE JOUY;75004;Paris 4e  Arrondissement;48.855307,2.357724;
3870;BOINALI AMINA;2,4043E+12;PLACE DU MARCHE MAMOUDZOU;97600;Mamoudzou;-12.77824,45.230147;
3871;MORIZEAU TOM;8,41661E+13;3 RUE DU MOULIN;28190;Dangers;48.509455,1.350946;28128001
3872;SARL LES CHARMILLES;3,50314E+13;Les Jonchères;79500;Melle;46.231154,-0.129485;
3873;SARL RESTAURANT TUG BA NAZAR;4,47708E+13;161 RUE DE ROME;75017;Paris 17e  Arrondissement;48.887,2.314688;
3874;ARGANA NIORT;8,82169E+13;222 RUE DE RIBRAY;79000;Niort;46.32119,-0.480741;
3875;OCEANA SARL;4,50916E+13;1, Place du Lirou;34270;Les Matelles;43.730716,3.809193;
3876;LE VAL DE CRENE;3,04178E+13;Montée du Paradis;73310;Saint-Pierre-de-Curtille;45.777043,5.809577;
3877;GAEC DE MOUREZE;3,83411E+13;MOUREZE;12360;Peux-et-Couffouleux;43.766,2.877;
3878;PETITS COTIERS;4,21953E+13;10 RUE DE GRENOBLE;94140;Alfortville;48.786606,2.430839;94002011
3879;ZIGO TOURS SARL;3,943E+13;RT10;20221;Santa-Maria-Poggio;42.353871,9.515437;
3880;SARL DAVEZAC;4,4245E+13;Beaudelle;31370;Montastruc-Savès;43.360577,1.021861;31359001
3881;LE BELIER;3,02237E+13;13 RUE BRAQUAVAL;59510;Hem;50.662706,3.203225;
3882;WILLIOT LUDOVIC;8,80656E+13;CHEMIN DE VILLERS;59176;Masny;50.334739,3.186345;59390001
3883;LE FARCI POITEVIN;3,94771E+13;Z.A La Grolière;86160;Sommières-du-Clain;46.275656,0.347363;86264001
3884;ARAVINTH;8,4487E+13;15 AV TRUDAINE;75009;Paris 9e  Arrondissement;48.881495,2.345006;
3885;OGEC JEANNE D'ARC;3,20818E+13;61 RUE LOUIS ROUSSET;84400;Apt;43.874901,5.398278;
3886;CHRONO PIZZA;8,82238E+13;13 RUE DE CHATEAUDUN;28220;Cloyes-les-Trois-Rivières;48.002035,1.240233;
3887;AMIRAUTE (L');4,04391E+13;BOULEVARD CHARLES BONAPARTE;20000;Ajaccio;41.91803,8.738925;
3888;MY LITTLE ITALY;4,9228E+13;9 AV DE MONTRAPON;25000;Besançon;47.2452,6.01033;
3889;C.V.E. DU CCE-SNCF;3,29597E+13;C.V.E. DU CCE-SNCF;58000;Challuy;46.932872,3.146977;
3890;AL AMANA;8,44714E+13;191 RUE DE CRIMEE;75019;Paris 19e  Arrondissement;48.891015,2.376163;
3891;ECOLE MATERNELLE DE L'ARROUSAIRE;2,184E+13;AVENUE DE L ARROUSAIRE;84000;Avignon;43.938038,4.814062;
3892;L'ANNEXE CADET;7,94275E+13;117 RUE DE BELLEVILLE;75019;Paris 19e  Arrondissement;48.874754,2.387627;
3893;SOC CORSE DE MAREE PROD SURGE;3,17558E+13;ZI DU VAZZIO;20090;Ajaccio;41.932266,8.785619;2A004425
3894;LE MONT BRISON;3,27753E+13;61, Boulevard Eugene Pierre;13005;Marseille 5e  Arrondissement;43.29627,5.390868;
3895;GUSTO GIUSTO;8,43944E+13;14 RUE NAPOLEON;20200;Bastia;42.698464,9.450044;
3896;CANNELLE ET PIMENT;4,2047E+13;15 CHEMIN RENOIR;69120;Vaulx-en-Velin;45.778037,4.928796;69256251
3897;FROMAGERIE ROUZAIRE;7,86951E+13;1 RUE DE VILLE;77220;Tournan-en-Brie;48.740711,2.772869;77470004
3898;GAEC LES PETITES REINES;8,52243E+13;10 rue des Etelles;74230;Thônes;45.887729,6.339539;74280014
3899;LA BOUCHERIE A LA CAMPAGNE;4,89799E+13;1 RUE DE BACCHUS;33500;Les Billaux;44.950113,-0.232388;33052001
3900;PATISSERIE DE LA ROSE;3,517E+13;7 R OCTAVIO MEY;69005;Lyon 5e  Arrondissement;45.765937,4.827779;
3901;COFI;4,32542E+13;44 RUE MARCEAU;94200;Ivry-sur-Seine;48.819636,2.379112;94041035
3902;ISTR;8,11439E+13;41 RUE NOTRE DAME DE NAZARETH;75003;Paris 3e  Arrondissement;48.867495,2.357594;
3903;TRANSPORTS DE ST MICHEL EN L HERM;3,4188E+13;ZI de Montifaut;85700;Pouzauges;46.770373,-0.837028;
3904;SOCIETE LAITIERE DE CLERMONT;3,99391E+13;2, Rue Henri Breuil;60600;Clermont;49.385072,2.410879;60157031
3905;DASSISE SEBASTIEN;8,28889E+13;91 Voie des Chataîns;41700;Cour-Cheverny;47.514026,1.493536;41067001
3906;LA GOURMANDISE ERIC;5,32481E+13;22 AVENUE MAC MAHON;75017;Paris 17e  Arrondissement;48.878063,2.29457;
3907;SCEA DE CAMALIERES;4,5206E+13;102 IMPASSE DE LA MORAINE;74270;Menthonnex-sous-Clermont;45.949089,5.91875;74178001
3908;BOUCHERIE DU TERROIR MATHON PHILIPPE;4,01996E+13;2 rue des Jonquilles;34970;Lattes;43.569937,3.90362;
3909;ASSOCIATION DE GESTION DU RESTAURANT INTERADMINISTRATIF DE LA PREFECTURE - AGRIP;4,08486E+13;167 AV F ET I JOLIOT CURIE;92000;Nanterre;48.897071,2.216246;
3910;VILLA LA PROVIDENCE;5,38354E+13;2 - 4 RUE DU DOCTEUR ROUX;27000;Évreux;49.024129,1.139035;
3911;CARREFOUR MARKET;3,8473E+13;AV DU PONT LEROUGE;12100;Millau;44.093703,3.07434;
3912;RESTAURANT UNIVERSITAIRE;1,8971E+13;Campus de FOUILLOLE;97164;Pointe-à-Pitre;16.223435,-61.527356;97120101
3913;ASS GESTION MARPA DU SECTEUR MONTRACOL;4,0312E+13;Le Village;1310;Montracol;46.197797,5.12255;
3914;PIZZ'HAPPY;8,29076E+13;15 RUE DE SAINTES;16000;Angoulême;45.655507,0.148384;
3915;MAISON ARTERO;8,77615E+13;34 route des Pyrénées;65700;Labatut-Rivière;43.518277,0.037269;65240003
3916;SAS SOVIA;4,10153E+13;St-Marc;12850;Onet-le-Château;44.372432,2.590876;12176015
3917;INTERMARCHE;3,07104E+13;NOGENT DISTRIBUTION;28210;Nogent-le-Roi;48.651938,1.533646;
3918;SEVILLA MARIE;4,08468E+13;Les Grands Champs;24700;Montpon-Ménestérol;45.025557,0.166588;24294005
3919;RENAULT SAS;7,8013E+13;15 BIS AVENUE GALILEE;92350;Le Plessis-Robinson;48.774608,2.245156;
3920;NAIBO ROMAN;7,9839E+13;QUAI DE LUCASSON;33510;Andernos-les-Bains;44.751409,-1.082588;33005010
3921;LES BEBES CHOU DES CHERUBINS;8,88216E+13;5 RUE DES HERBAGES DE SEZE;94450;Limeil-Brévannes;48.747333,2.481172;
3922;LERNER Jeoffrey;8,33969E+13;La Touzerie;14140;Castillon-en-Auge;49.046283,0.092121;
3923;APPASE;7,82396E+13;6 AVENUE DU MARECHEL LECLERC;4000;Digne-les-Bains;44.098856,6.234311;
3924;SUPER U;6,7262E+13;6 Avenue René Coty;84300;Cavaillon;43.837182,5.044268;
3925;M.SUSHI;5,38061E+13;12 RUE DE JEMMAPES;57100;Thionville;49.359049,6.167623;
3926;HOTEL SAINT ALBERT;5,02163E+13;22 AVENUE DU GENERAL LECLERC;24200;Sarlat-la-Canéda;44.886326,1.216763;
3927;ASSOCIATION LES AMIS DES  CAMPENES;3,17195E+13;64  rue de l'Etoile;25370;Longevilles-Mont-d'Or;46.766007,6.333744;
3928;SAS VIVENDA;4,91214E+13;P.K.41.5 Savane Matiti;97355;Macouria;5.054332,-52.576109;97305017
3929;DALLOYAU;5,62106E+13;99 RUE DU FAUBOURG SAINT HONORE;75008;Paris 8e  Arrondissement;48.872239,2.312066;
3930;HAARP;7,75729E+13;14-16 rue de Verdun;95370;Montigny-lès-Cormeilles;48.984666,2.190169;
3931;MONOP';4,44657E+13;135 RUE SAINT MARTIN;75004;Paris 4e  Arrondissement;48.861228,2.351335;
3932;DUC;7,22621E+13;Chemin des Bois;30730;Saint-Bauzély;43.921711,4.200103;30233001
