;SIRET;ods_type_activite
227;4,82341E+13;Autres
228;4,90257E+13;Autres
229;4,50092E+13;Autres
230;4,82518E+13;Autres
231;4,90313E+13;Autres
232;4,51321E+13;Autres
233;4,83065E+13;Autres
234;4,90379E+13;Autres
235;4,52121E+13;Autres
236;4,8339E+13;Autres
237;4,90818E+13;Autres
238;4,5227E+13;Autres
239;4,83583E+13;Autres
240;4,94458E+13;Autres
241;4,5256E+13;Autres
242;4,84151E+13;Autres
243;4,94637E+13;Autres
244;4,84385E+13;Autres
245;4,95196E+13;Autres
246;4,52744E+13;Autres
247;4,87921E+13;Autres
248;4,95272E+13;Autres
249;4,77907E+13;Autres
250;4,89564E+13;Autres
251;4,98753E+13;Autres
252;4,78012E+13;Autres
253;4,89657E+13;Autres
254;5,0006E+13;Autres
255;4,78456E+13;Autres
256;4,90976E+13;Autres
257;5,00168E+13;Autres
258;4,78456E+13;Autres
259;4,91142E+13;Autres
260;5,00732E+13;Autres
261;4,80095E+13;Autres
262;4,92182E+13;Autres
263;5,01238E+13;Autres
264;4,8015E+13;Autres
265;4,93711E+13;Autres
266;5,01488E+13;Autres
267;4,8087E+13;Autres
268;4,94211E+13;Autres
269;5,01531E+13;Autres
270;4,80975E+13;Autres
271;4,94299E+13;Autres
272;5,02069E+13;Autres
273;4,81047E+13;Autres
274;4,99924E+13;Autres
275;5,03287E+13;Autres
276;4,82019E+13;Autres
277;5,00298E+13;Autres
278;5,05239E+13;Autres
279;4,82265E+13;Autres
280;5,00313E+13;Autres
281;5,07438E+13;Autres
282;4,82341E+13;Autres
283;5,00313E+13;Autres
284;5,07556E+13;Autres
285;4,8239E+13;Autres
286;5,00366E+13;Autres
287;5,08562E+13;Autres
288;4,83818E+13;Autres
289;5,0108E+13;Autres
290;5,09079E+13;Autres
291;4,84919E+13;Autres
292;5,01283E+13;Autres
293;5,09316E+13;Autres
294;4,88761E+13;Autres
295;5,01458E+13;Autres
296;5,10447E+13;Autres
297;4,88878E+13;Autres
298;5,0315E+13;Autres
299;5,12308E+13;Autres
300;4,89776E+13;Autres
301;5,03463E+13;Autres
302;5,1307E+13;Autres
303;4,90375E+13;Autres
304;5,04191E+13;Autres
305;5,13897E+13;Autres
306;4,90789E+13;Autres
307;5,0466E+13;Autres
308;5,13899E+13;Autres
309;4,91044E+13;Autres
310;5,04801E+13;Autres
311;5,17627E+13;Autres
312;4,91135E+13;Autres
313;5,07722E+13;Autres
314;5,18949E+13;Autres
315;4,91324E+13;Autres
316;5,0834E+13;Autres
317;5,19058E+13;Autres
318;4,91332E+13;Autres
319;5,19261E+13;Autres
320;4,91645E+13;Autres
321;5,09459E+13;Autres
322;5,21323E+13;Autres
323;4,93387E+13;Autres
324;5,09915E+13;Autres
325;5,21438E+13;Autres
326;4,94021E+13;Autres
327;5,1035E+13;Autres
328;5,21757E+13;Autres
329;4,95287E+13;Autres
330;5,10987E+13;Autres
331;5,21951E+13;Autres
332;4,9829E+13;Autres
333;5,11609E+13;Autres
334;5,2232E+13;Autres
335;4,9866E+13;Autres
336;5,12194E+13;Autres
337;5,23284E+13;Autres
338;4,99309E+13;Autres
339;5,12316E+13;Autres
340;5,23818E+13;Autres
341;5,00058E+13;Autres
342;5,13044E+13;Autres
343;5,24118E+13;Autres
344;5,00937E+13;Autres
345;5,13294E+13;Autres
346;5,24216E+13;Autres
347;5,0199E+13;Autres
348;5,136E+13;Autres
349;5,24959E+13;Autres
350;5,02554E+13;Autres
351;5,13613E+13;Autres
352;5,28628E+13;Autres
353;5,04841E+13;Autres
354;5,18385E+13;Autres
355;5,28895E+13;Autres
356;5,05155E+13;Autres
357;5,19424E+13;Autres
358;5,31803E+13;Autres
359;5,09791E+13;Autres
360;5,19929E+13;Autres
361;5,31917E+13;Autres
362;5,09875E+13;Autres
363;5,20161E+13;Autres
364;5,32227E+13;Autres
365;5,10101E+13;Autres
366;5,20391E+13;Autres
367;5,32513E+13;Autres
368;5,1083E+13;Autres
