;APP_Libelle_activite_etablissement
136;Alimentation générale|Rayon traiteur
137;Rayon traiteur|Rayon pain/viennoiserie/pâtisserie
138;Fromagerie|Boulangerie-Pâtisserie|Poissonnerie|Traiteur|Boucherie-Charcuterie
139;Libre service|Rayon poissonnerie|Rayon fromagerie|Rayon traiteur|Rayon pain/viennoiserie/pâtisserie|Rayon boucherie-charcuterie
140;Libre service|Rayon fromagerie|Alimentation générale
141;Rayon poissonnerie|Rayon fromagerie
142;Libre service|Rayon poissonnerie|Rayon fromagerie|Rayon traiteur|Rayon boucherie-charcuterie
143;Fromagerie|Alimentation générale|Glacier|Boucherie-Charcuterie
144;Fromagerie|Libre service|Alimentation générale|Boulangerie-Pâtisserie|Boucherie-Charcuterie
145;Fromagerie|Boulangerie-Pâtisserie|Boucherie-Charcuterie
146;Libre service|Boucherie-Charcuterie
147;Collecte et transformation de miel
148;Boulangerie-Pâtisserie|Poissonnerie|Traiteur|Boucherie-Charcuterie
149;Fromagerie|Alimentation générale|Boulangerie-Pâtisserie|Glacier|Poissonnerie|Traiteur
150;Distribution automatique
151;Rayon fromagerie|Rayon pain/viennoiserie/pâtisserie
152;Alimentation générale|Rayon pain/viennoiserie/pâtisserie|Rayon boucherie-charcuterie
153;Libre service|Rayon fromagerie|Rayon traiteur|Rayon pain/viennoiserie/pâtisserie|Rayon boucherie-charcuterie
154;Alimentation générale|Glacier
155;Poissonnerie|Traiteur|Boucherie-Charcuterie
156;Boulangerie-Pâtisserie|Boucherie-Charcuterie
157;Fromagerie|Boulangerie-Pâtisserie|Poissonnerie|Boucherie-Charcuterie
