;SIRET;Numero_inspection;Date_inspection;Synthese_eval_sanit
70;4,04567E+13;16105320;2021-07-28T02:00:00+02:00;Satisfaisant
71;3,82685E+13;16026765;2021-06-04T02:00:00+02:00;Satisfaisant
72;3,80678E+13;16250550;2021-11-24T01:00:00+01:00;Satisfaisant
73;4,05009E+13;16062722;2021-06-30T02:00:00+02:00;Satisfaisant
74;3,83353E+13;16002943;2021-05-11T02:00:00+02:00;Très satisfaisant
75;3,82758E+13;16235520;2021-11-16T01:00:00+01:00;A améliorer
76;4,05208E+13;15847461;2021-01-07T01:00:00+01:00;Très satisfaisant
77;3,83492E+13;15965653;2021-04-08T02:00:00+02:00;Très satisfaisant
78;3,828E+13;15875981;2021-01-25T01:00:00+01:00;Très satisfaisant
79;4,07523E+13;16159183;2021-09-07T02:00:00+02:00;Très satisfaisant
80;3,83881E+13;16041735;2021-06-15T02:00:00+02:00;Très satisfaisant
81;3,83492E+13;15967279;2021-04-08T02:00:00+02:00;Très satisfaisant
82;4,08743E+13;15893668;2021-02-12T01:00:00+01:00;Satisfaisant
83;3,85272E+13;15894396;2021-02-05T01:00:00+01:00;A améliorer
84;3,88294E+13;15915037;2021-03-01T01:00:00+01:00;Satisfaisant
85;4,12129E+13;16017310;2021-05-28T02:00:00+02:00;Satisfaisant
86;3,88747E+13;16131457;2021-08-18T02:00:00+02:00;Très satisfaisant
87;3,8869E+13;16241332;2021-11-19T01:00:00+01:00;A améliorer
88;4,13556E+13;15999137;2021-05-06T02:00:00+02:00;A améliorer
89;3,91067E+13;15979543;2021-04-21T02:00:00+02:00;Satisfaisant
90;3,89314E+13;16135190;2021-08-24T02:00:00+02:00;Satisfaisant
91;4,15017E+13;16199480;2021-10-13T02:00:00+02:00;Satisfaisant
92;3,91553E+13;15922842;2021-03-04T01:00:00+01:00;Satisfaisant
93;3,89615E+13;16264631;2021-11-30T01:00:00+01:00;Très satisfaisant
94;4,17713E+13;16286696;2021-12-15T01:00:00+01:00;Très satisfaisant
