;SIRET;APP_Libelle_activite_etablissement
143;4,24004E+13;Restaurant
144;4,39707E+13;Boulangerie-Pâtisserie
145;4,14046E+13;Boulangerie-Pâtisserie
146;4,24294E+13;Boucherie-Charcuterie
147;4,39857E+13;Restaurant
148;4,14599E+13;Rayon poissonnerie
149;4,28268E+13;Alimentation générale
150;4,4273E+13;Boulangerie-Pâtisserie
151;4,15386E+13;Alimentation générale
152;4,28268E+13;_
153;4,42775E+13;Restaurant
154;4,18171E+13;Rayon pain-viennoiserie-pâtisserie
155;4,29072E+13;Boulangerie-Pâtisserie
156;4,43363E+13;Boulangerie-Pâtisserie
157;4,19305E+13;Boulangerie-Pâtisserie
158;4,32018E+13;Alimentation générale
159;4,43847E+13;Restaurant
160;4,19382E+13;Boulangerie-Pâtisserie
161;4,32856E+13;Boucherie-Charcuterie
162;4,47486E+13;Alimentation générale
163;4,21533E+13;Rayon boucherie-charcuterie
164;4,33988E+13;Restaurant
165;4,48758E+13;Boucherie-Charcuterie
166;4,23428E+13;_
167;4,34894E+13;Boulangerie-Pâtisserie
168;4,49531E+13;Boulangerie-Pâtisserie
169;4,24025E+13;Rayon boucherie-charcuterie
170;4,34998E+13;Boulangerie-Pâtisserie
171;4,51321E+13;Rayon boucherie-charcuterie
172;4,24173E+13;Restaurant
173;4,37809E+13;Boulangerie-Pâtisserie
174;4,51321E+13;Alimentation générale
175;4,24245E+13;Boulangerie-Pâtisserie
176;4,40169E+13;Alimentation générale
177;4,51321E+13;Alimentation générale
178;4,24754E+13;Boulangerie-Pâtisserie
179;4,40284E+13;Alimentation générale
180;4,51722E+13;Alimentation générale
181;4,25068E+13;Boulangerie-Pâtisserie
182;4,41683E+13;Restaurant
183;4,52233E+13;Boulangerie-Pâtisserie
184;4,28268E+13;Alimentation générale
185;4,43789E+13;_
186;4,52505E+13;Restaurant
187;4,28268E+13;Rayon boucherie-charcuterie
188;4,44409E+13;Alimentation générale
189;4,53736E+13;Boulangerie-Pâtisserie
190;4,28268E+13;Alimentation générale
191;4,44935E+13;Restaurant
192;4,53994E+13;_
193;4,31454E+13;Boulangerie-Pâtisserie
194;4,47487E+13;Boulangerie-Pâtisserie
195;4,78456E+13;Boulangerie-Pâtisserie
196;4,32238E+13;Boulangerie-Pâtisserie
197;4,48142E+13;Restaurant
198;4,78489E+13;Restaurant
199;4,38347E+13;Alimentation générale
200;4,49531E+13;Restaurant
201;4,78724E+13;Boulangerie-Pâtisserie
202;4,38402E+13;Boulangerie-Pâtisserie
203;4,50428E+13;Restaurant
204;4,79932E+13;Restaurant
205;4,38695E+13;Boulangerie-Pâtisserie
206;4,51321E+13;Rayon poissonnerie
207;4,80377E+13;Boucherie-Charcuterie
208;4,39057E+13;Restaurant
209;4,51321E+13;Rayon poissonnerie
210;4,82351E+13;Boulangerie-Pâtisserie
211;4,39626E+13;Restaurant
212;4,51321E+13;Rayon boucherie-charcuterie
213;4,83131E+13;Restaurant
214;4,4312E+13;Boucherie-Charcuterie
215;4,51949E+13;Alimentation générale
216;4,83825E+13;Restaurant
217;4,45264E+13;Boulangerie-Pâtisserie
218;4,52126E+13;Boucherie-Charcuterie
219;4,8437E+13;Alimentation générale
220;4,48155E+13;Boulangerie-Pâtisserie
221;4,53726E+13;Restaurant
222;4,89078E+13;Restaurant
223;4,48518E+13;Rayon boucherie-charcuterie
224;4,81844E+13;Restaurant
225;4,89543E+13;Boulangerie-Pâtisserie
226;4,49901E+13;Restaurant
227;4,82341E+13;Boulangerie-Pâtisserie
228;4,90257E+13;Boulangerie-Pâtisserie
229;4,50092E+13;Boulangerie-Pâtisserie
230;4,82518E+13;Restaurant
231;4,90313E+13;Boulangerie-Pâtisserie
232;4,51321E+13;Alimentation générale
233;4,83065E+13;Restaurant
234;4,90379E+13;Alimentation générale
235;4,52121E+13;Restaurant
236;4,8339E+13;Boulangerie-Pâtisserie
237;4,90818E+13;Boulangerie-Pâtisserie
238;4,5227E+13;Boulangerie-Pâtisserie
239;4,83583E+13;Boulangerie-Pâtisserie
240;4,94458E+13;Alimentation générale
241;4,5256E+13;Boulangerie-Pâtisserie
242;4,84151E+13;Boulangerie-Pâtisserie
243;4,94637E+13;Alimentation générale
244;4,84385E+13;Boulangerie-Pâtisserie
245;4,95196E+13;Alimentation générale
246;4,52744E+13;Boulangerie-Pâtisserie
247;4,87921E+13;Restaurant
248;4,95272E+13;Restaurant
249;4,77907E+13;Restaurant
250;4,89564E+13;Boulangerie-Pâtisserie
251;4,98753E+13;Restaurant
252;4,78012E+13;Primeur
253;4,89657E+13;Boulangerie-Pâtisserie
254;5,0006E+13;Boulangerie-Pâtisserie
255;4,78456E+13;Boulangerie-Pâtisserie
256;4,90976E+13;Restaurant
257;5,00168E+13;Traiteur
258;4,78456E+13;Boulangerie-Pâtisserie
259;4,91142E+13;Boucherie-Charcuterie
260;5,00732E+13;Boulangerie-Pâtisserie
261;4,80095E+13;Boulangerie-Pâtisserie
262;4,92182E+13;Restaurant
263;5,01238E+13;Alimentation générale
264;4,8015E+13;Alimentation générale
265;4,93711E+13;Boucherie-Charcuterie
