SIRET;Code_postal;APP_Libelle_activite_etablissement;Agrement;ods_type_activite;Synthese_eval_sanit_A améliorer;Synthese_eval_sanit_A corriger de manière urgente;Synthese_eval_sanit_Satisfaisant;Synthese_eval_sanit_Très satisfaisant
40861719900042;74;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
42170182200031;69;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
40043325600023;91;Restaurant;1;Autres;0;0;1;0
40940966100025;38;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
40138602400012;73;Boulangerie-Pâtisserie;1;Autres;0;0;0;1
41040901500352;78;Rayon poissonnerie;1;Autres;1;0;0;0
40138621400019;73;Boulangerie-Pâtisserie;1;Autres;0;0;0;1
41040946001093;95;Rayon boucherie-charcuterie;1;Autres;0;0;1;0
42326332600013;92;Boucherie-Charcuterie;1;Autres;0;0;1;0
40153321100058;78;Chocolatier;1;Autres;0;0;1;0
41040946002232;62;Rayon boucherie-charcuterie;1;Autres;0;0;1;0
42373286600011;92;Restaurant;1;Autres;0;0;1;0
41312287000087;63;Restaurant;1;Autres;1;0;0;0
42826802333888;69;Rayon fruits & légumes;1;Autres;0;0;1;0
40373421300016;78;Restaurant;1;Autres;1;0;0;0
41456850100020;6;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
42826802342665;95;Alimentation générale;1;Autres;1;0;0;0
41040901500352;78;Alimentation générale;1;Autres;1;0;0;0
41459903500907;92;Alimentation générale;1;Autres;1;0;0;0
42904727700018;94;Alimentation générale;1;Autres;0;0;1;0
41040946000962;95;Rayon poissonnerie;1;Autres;1;0;0;0
41817066800010;95;Alimentation générale;1;Autres;0;0;1;0
43252418900011;69;Boulangerie-Pâtisserie;1;Autres;0;0;0;1
41126095300012;94;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
41870367400030;92;Alimentation générale;1;Autres;1;0;0;0
43301669800022;91;Restaurant;1;Autres;0;0;1;0
41146349000036;78;Restaurant;1;Autres;0;0;1;0
42249106800017;29;Restaurant;1;Autres;0;0;0;1
43950393900019;92;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
41387401700010;92;Boucherie-Charcuterie;1;Autres;0;0;1;0
42400356400012;78;Restaurant;1;Autres;0;0;1;0
43970662300022;95;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
41404554200019;69;Boulangerie-Pâtisserie;1;Autres;0;0;0;1
42429351200028;14;Boucherie-Charcuterie;1;Autres;1;0;0;0
43985684000012;78;Restaurant;1;Autres;1;0;0;0
41459903500907;92;Rayon poissonnerie;1;Autres;0;0;1;0
42826802303493;80;Alimentation générale;1;Autres;0;0;1;0
44273022200035;80;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
41538636600017;65;Alimentation générale;1;Autres;0;0;0;1
44277483200012;92;Restaurant;1;Autres;0;0;1;0
41817066800010;95;Rayon pain-viennoiserie-pâtisserie;1;Autres;0;0;1;0
42907152500019;92;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
44336343700015;69;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
41930547900026;92;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
43201772100015;95;Alimentation générale;1;Autres;0;0;1;0
44384737100046;38;Restaurant;1;Autres;0;0;0;1
41938214800015;3;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
43285564100010;69;Boucherie-Charcuterie;1;Autres;0;0;0;1
44748556600023;94;Alimentation générale;1;Autres;0;0;1;0
42153324100020;14;Rayon boucherie-charcuterie;1;Autres;0;0;1;0
43398795500013;74;Restaurant;1;Autres;0;0;1;0
44875799700755;14;Boucherie-Charcuterie;1;Autres;0;0;1;0
43489425900010;94;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
44953057500090;65;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
42402468500010;62;Rayon boucherie-charcuterie;1;Autres;1;0;0;0
43499801900021;80;Boulangerie-Pâtisserie;1;Autres;0;0;0;1
45132133500627;14;Rayon boucherie-charcuterie;1;Autres;0;0;1;0
42417327600017;95;Restaurant;1;Autres;0;0;1;0
43780881900019;29;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
45132133501088;95;Alimentation générale;1;Autres;0;0;1;0
42424516500016;92;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
44016876300017;92;Alimentation générale;1;Autres;1;0;0;0
45132133501997;35;Alimentation générale;1;Autres;0;0;1;0
42475366300022;65;Boulangerie-Pâtisserie;1;Autres;0;0;0;1
44028375208039;92;Alimentation générale;1;Autres;0;0;1;0
45172205200011;94;Alimentation générale;1;Autres;0;0;1;0
42506811100029;92;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
44168289500020;69;Restaurant;1;Autres;0;0;0;1
45223272100012;94;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
42826802300325;6;Alimentation générale;1;Autres;0;0;1;0
45250528200015;69;Restaurant;1;Autres;0;0;1;0
42826802339869;14;Rayon boucherie-charcuterie;1;Autres;0;0;1;0
44440856100017;92;Alimentation générale;1;Autres;0;0;0;1
45373573000021;95;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
42826802344034;92;Alimentation générale;1;Autres;1;0;0;0
44493526600015;85;Restaurant;1;Autres;0;0;1;0
